// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight
FAIL,1,723,N50Q_5,66830031VV,20260703,223729,F,0,0,,FPPFFPPPPPNN,1,F,0,20260703,223719,0,,,0,0,10.91 sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, HLim, LLim, Mode, Type, HPin, LPin, Loc, Msr_V, Result
 420, RTC84,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 311, 308, C1, 4.0000000  , 1
 427, RTC117,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 13, 273, C1, 4.0000000  , 1
 430, RTC123,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 307, 1, C1, 4.0000000  , 1
 435, RTC128,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1, 1014, C7, 4.0000000  , 1
 437, RTC132,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 314, 1, C1, 4.0000000  , 1
 438, RTC135,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 329, 1, C2, 4.0000000  , 1
 440, RTC137,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 281, 277, B1, 4.0000000  , 1
 442, RTC139,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 282, 275, B1, 4.0000000  , 1
 444, RTC141,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 276, 1, B2, 4.0000000  , 1
 447, RTM1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 13, 915, C4, 4.0000000  , 1
 449, RTM15,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 213, 976, B4, 4.0000000  , 1
 450, RTM17,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 370, 1, C4, 4.0000000  , 1
 451, RTM19,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1058, 364, C4, 4.0000000  , 1
 458, RUS61,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3236, 3235, D1, 4.0000000  , 1
 459, RUS132,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 484, 486, E1, 4.0000000  , 1
 460, RUS133,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 1030, 485, E1, 4.0000000  , 1
 461, RUS174,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 3278, 634, F6, 4.0000000  , 1
 480, RW27,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 148, 156, B6, 4.0000000  , 1
 483, RWL1,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 166, 942, B6, 4.0000000  , 1
 486, RWL7,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 165, 167, B6, 4.0000000  , 1
 487, RXDP11,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 780, 782, G4, 4.0000000  , 1
