1,2,N50Q_5,6783000Y8A,20260714,121309,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121250,0,,,0,0

 2277, U1_1042_1,    0.869V ,    0.869V ,  35.0,  35.0, 2, U, 1, 360, A1, 0.4294299V , 1
 2280, U1_1061_1,    0.865V ,    0.865V ,  35.0,  35.0, 2, U, 1, 361, A1, 0.4290921V , 1
 2282, U1_1063_1,    0.859V ,    0.859V ,  35.0,  35.0, 2, U, 1, 365, A1, 0.4283321V , 1
 2301, U1_1148_1,    0.863V ,    0.863V ,  35.0,  35.0, 2, U, 1, 443, A1, 0.0190013V , 1
 2304, U1_1167_1/,    0.734V ,    0.734V ,  35.0,  35.0, 2, U, 1, 357, A1, 0.4317101V , 1
 2317, U1_1205_1,    0.869V ,    0.869V ,  35.0,  35.0, 2, U, 1, 445, A1, 2.2179190V , 1
 2325, U1_1218_1,    0.866V ,    0.866V ,  35.0,  35.0, 2, U, 1, 433, A1, 0.3720882V , 1
 2330, U1_1229_1,    0.860V ,    0.860V ,  35.0,  35.0, 2, U, 1, 344, A1, 0.4274876V , 1
 2338, U1_1243_1,    0.844V ,    0.844V ,  35.0,  35.0, 2, U, 1, 336, A1, 0.4246163V , 1
 2339, U1_1247_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 339, A1, 0.4257986V , 1
 2340, U1_1249_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 347, A1, 0.4260519V , 1
 2345, U1_1256_1,    0.863V ,    0.863V ,  35.0,  35.0, 2, U, 1, 446, A1, 2.2135276V , 1
 2365, U1_1295_1,    0.860V ,    0.860V ,  35.0,  35.0, 2, U, 1, 352, A1, 0.4297677V , 1
 2368, U1_1301_1,    0.861V ,    0.861V ,  35.0,  35.0, 2, U, 1, 444, A1, 0.5312770V , 1
 2378, U1_1321_1,    0.852V ,    0.852V ,  35.0,  35.0, 2, U, 1, 345, A1, 0.4289232V , 1
 2381, U1_1327_1,    0.865V ,    0.865V ,  35.0,  35.0, 2, U, 1, 353, A1, 0.4317101V , 1
 2383, U1_1329_1/,    0.719V ,    0.719V ,  35.0,  35.0, 2, U, 1, 434, A1, 0.0104718V , 1
 2390, U1_1342_1,    0.856V ,    0.856V ,  35.0,  35.0, 2, U, 1, 354, A1, 0.4296833V , 1
